id,name,type,district_id
2681,"Xã Tiên Kiên",Xã,162
2682,"Thị trấn Hùng Sơn","Thị trấn",162
2683,"Xã Xuân Lũng",Xã,162
2684,"Xã Hy Cương",Xã,153
2685,"Xã Chu Hóa",Xã,153
2686,"Xã Xuân Huy",Xã,162
2687,"Xã Thạch Sơn",Xã,162
2688,"Xã Thanh Đình",Xã,153
2689,"Xã Sơn Vi",Xã,162
2690,"Xã Phùng Nguyên",Xã,162
2691,"Xã Cao Xá",Xã,162
2692,"Xã Vĩnh Lại",Xã,162
2693,"Xã Tứ Xã",Xã,162
2694,"Xã Bản Nguyên",Xã,162
2695,"Thị trấn Thanh Sơn","Thị trấn",163
2696,"Xã Thu Cúc",Xã,165
2697,"Xã Thạch Kiệt",Xã,165
2698,"Xã Thu Ngạc",Xã,165
2699,"Xã Kiệt Sơn",Xã,165
2700,"Xã Đồng Sơn",Xã,165
2701,"Xã Lai Đồng",Xã,165
2702,"Xã Sơn Hùng",Xã,163
2703,"Xã Tân Phú",Xã,165
2704,"Xã Mỹ Thuận",Xã,165
2705,"Xã Địch Quả",Xã,163
2706,"Xã Giáp Lai",Xã,163
2707,"Xã Tân Sơn",Xã,165
2708,"Xã Thục Luyện",Xã,163
2709,"Xã Võ Miếu",Xã,163
2710,"Xã Thạch Khoán",Xã,163
2711,"Xã Xuân Đài",Xã,165
2712,"Xã Minh Đài",Xã,165
2713,"Xã Văn Luông",Xã,165
2714,"Xã Xuân Sơn",Xã,165
2715,"Xã Cự Thắng",Xã,163
2716,"Xã Tất Thắng",Xã,163
2717,"Xã Long Cốc",Xã,165
2718,"Xã Văn Miếu",Xã,163
2719,"Xã Cự Đồng",Xã,163
2720,"Xã Kim Thượng",Xã,165
2721,"Xã Tam Thanh",Xã,165
2722,"Xã Thắng Sơn",Xã,163
2723,"Xã Vinh Tiền",Xã,165
2724,"Xã Tân Minh",Xã,163
2725,"Xã Hương Cần",Xã,163
2726,"Xã Khả Cửu",Xã,163
2727,"Xã Đông Cửu",Xã,163
2728,"Xã Tân Lập",Xã,163
2729,"Xã Yên Lãng",Xã,163
2730,"Xã Yên Lương",Xã,163
2731,"Xã Thượng Cửu",Xã,163
2732,"Xã Lương Nha",Xã,163
2733,"Xã Yên Sơn",Xã,163
2734,"Xã Tinh Nhuệ",Xã,163
2735,"Xã Đào Xá",Xã,164
2736,"Xã Thạch Đồng",Xã,164
2737,"Xã Xuân Lộc",Xã,164
2738,"Xã Tân Phương",Xã,164
2739,"Thị trấn Thanh Thủy","Thị trấn",164
2740,"Xã Sơn Thủy",Xã,164
2741,"Xã Bảo Yên",Xã,164
2742,"Xã Đoan Hạ",Xã,164
2743,"Xã Đồng Trung",Xã,164
2744,"Xã Hoàng Xá",Xã,164
2745,"Xã Tu Vũ",Xã,164
2746,"Phường Tích Sơn",Phường,166
